Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/CGA_Auto_General.pdf","//media.digikey.com/Renders/TDK%20Renders/1210%20(3225%20Metric)%202.5.jpg","445-13022-2-ND,445-13022-1-ND,445-13022-6-ND","CGA6M3X7R1H155K200AB","TDK Corporation","TDK Corporation","CAP CER 1.5UF 50V X7R 1210","2","0.42","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Obsolete","1.5 µF","±10%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.087"" (2.20mm)","-","-"
"https://api.kemet.com/component-edge/download/datasheet/C1210J105K5RACAUTO.pdf","//media.digikey.com/Photos/Kemet%20Photos/Kemet-1210-(3225-Metric).jpg","C1210J105K5RACAUTO-ND","C1210J105K5RACAUTO","KEMET","KEMET","CAP CER 1UF 50V X7R 1210","0","0.4272","0","2000","Tape & Reel (TR)","SMD Auto X7R FO","Active","1 µF","±10%","50V","X7R","-55°C ~ 125°C","Open Mode, Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.130"" L x 0.102"" W (3.30mm x 2.60mm)","-","0.081"" (2.05mm)","-","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","//media.digikey.com/Photos/TDK%20Photos/FG28_Type.jpg","FG22X7R1H225KNT00-ND","FG22X7R1H225KNT00","TDK Corporation","TDK Corporation","CAP CER 2.2UF 50V X7R RADIAL","0","0.43046","0","500","Bulk","FG","Not For New Designs","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.295"" L x 0.177"" W (7.50mm x 4.50mm)","0.335"" (8.50mm)","-","0.197"" (5.00mm)","Formed Leads - Kinked"
"https://api.kemet.com/component-edge/download/datasheet/C1210X475M5RAC.pdf","//media.digikey.com/Renders/Kemet%20Renders/1210-(3225).jpg","C1210X475M5RAC-ND","C1210X475M5RAC","KEMET","KEMET","CAP CER 4.7UF 50V X7R 1210","0","0.43114","0","1000","Tape & Reel (TR)","SMD Comm X7R Flex","Active","4.7 µF","±20%","50V","X7R","-55°C ~ 125°C","Soft Termination","-","Boardflex Sensitive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.130"" L x 0.102"" W (3.30mm x 2.60mm)","-","0.110"" (2.80mm)","-","-"
"https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/NTDA0-e.PDF","-","KTD500B105M32A0T00-ND","KTD500B105M32A0T00","United Chemi-Con","United Chemi-Con","CAP CER 1UF 50V X7R RADIAL","0","0.4312","0","2000","Tape & Box (TB)","NTD","Active","1 µF","±20%","50V","X7R","-55°C ~ 125°C","-","-","SMPS Filtering","-","Through Hole","Radial","0.197"" L x 0.138"" W (5.00mm x 3.50mm)","0.236"" (6.00mm)","-","0.197"" (5.00mm)","Straight"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1210X105M5RACTU","//media.digikey.com/Renders/Kemet%20Renders/Kemet-1210-(3225)-1,40-1,70.jpg","399-C1210X105M5RAC7800TR-ND","C1210X105M5RAC7800","KEMET","KEMET","CAP CER 1UF 50V X7R 1210","0","0.4312","0","2000","Tape & Reel (TR)","SMD Comm X7R Flex","Active","1 µF","±20%","50V","X7R","-55°C ~ 125°C","Soft Termination","-","Boardflex Sensitive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.130"" L x 0.102"" W (3.30mm x 2.60mm)","-","0.067"" (1.70mm)","-","-"
"https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/NTDA0-e.PDF","-","KTD500B155M32A0T00-ND","KTD500B155M32A0T00","United Chemi-Con","United Chemi-Con","CAP CER 1.5UF 50V X7R RADIAL","0","0.43428","0","2000","Tape & Box (TB)","NTD","Active","1.5 µF","±20%","50V","X7R","-55°C ~ 125°C","-","-","SMPS Filtering","-","Through Hole","Radial","0.197"" L x 0.138"" W (5.00mm x 3.50mm)","0.236"" (6.00mm)","-","0.197"" (5.00mm)","Straight"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1206X225K5RAC3183","//media.digikey.com/Renders/Kemet%20Renders/1206-(3216-Metric)-3,20x1,60x1,35mm.jpg","399-C1206X225K5RAC3183TR-ND","C1206X225K5RAC3183","KEMET","KEMET","CAP CER 2.2UF 50V X7R 1206","0","0.4389","0","2000","Tape & Reel (TR)","SMD Auto X7R VW80808","Active","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.130"" L x 0.063"" W (3.30mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1206C105J5RACAUTO","//media.digikey.com/Renders/Kemet%20Renders/1206-(3216-Metric)-3,20x1,60x1,35mm.jpg","399-C1206C105J5RACAUTOTR-ND,399-C1206C105J5RACAUTOCT-ND","C1206C105J5RACAUTO","KEMET","KEMET","CAP CER 1UF 50V X7R 1206","0","0.4409","0","2500","Tape & Reel (TR),Cut Tape (CT)","SMD Auto X7R","Active","1 µF","±5%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive, Bypass, Decoupling","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.043"" (1.10mm)","-","-"
"-","//media.digikey.com/Renders/AVX%20Renders/1812-(4532-Metric)-2,80mm.jpg","478-18125C105M4T4ATR-ND","18125C105M4T4A","KYOCERA AVX","KYOCERA AVX","CAP CER SMD","0","0.4455","0","4000","Tape & Reel (TR)","-","Active","1 µF","±20%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","-","-","-","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fa_en.pdf","//media.digikey.com/Photos/TDK%20Photos/MFG_FA-Series-(5.50mm-x-3.5-mm)-Formed-Leads.jpg","FA16X7R1H475KRU00-ND","FA16X7R1H475KRU00","TDK Corporation","TDK Corporation","CAP CER 4.7UF 50V X7R RADIAL","0","0.44768","0","500","Bulk","FA","Active","4.7 µF","±10%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Through Hole","Radial","0.217"" L x 0.138"" W (5.50mm x 3.50mm)","0.236"" (6.00mm)","-","0.098"" (2.50mm)","Formed Leads - Kinked"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fa_en.pdf","//media.digikey.com/Photos/TDK Photos/MFG_FA26C0G2A153JNU00.jpg","FA26X7R1H475KRU00-ND","FA26X7R1H475KRU00","TDK Corporation","TDK Corporation","CAP CER 4.7UF 50V X7R RADIAL","0","0.44768","0","500","Bulk","FA","Active","4.7 µF","±10%","50V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Through Hole","Radial","0.217"" L x 0.138"" W (5.50mm x 3.50mm)","0.236"" (6.00mm)","-","0.197"" (5.00mm)","Formed Leads - Kinked"
